;INSEE_COM;NOM_COM;SUPERFICIE;POPULATION;CODE_DEPT;NOM_DEPT;CODE_REG;NOM_REG;Code_postal;Nom;Région
1;01147;DOMSURE;1521;465;01;AIN;84;AUVERGNE-RHONE-ALPES;1270.0;Ain;Rhône-Alpes
1;01148;DORTAN;1877;1871;01;AIN;84;AUVERGNE-RHONE-ALPES;1590.0;Ain;Rhône-Alpes
1;01040;BEREZIAT;1127;463;01;AIN;84;AUVERGNE-RHONE-ALPES;1340.0;Ain;Rhône-Alpes
1;01005;AMBERIEUX-EN-DOMBES;1605;1642;01;AIN;84;AUVERGNE-RHONE-ALPES;1330.0;Ain;Rhône-Alpes
1;01027;BALAN;1786;2785;01;AIN;84;AUVERGNE-RHONE-ALPES;1360.0;Ain;Rhône-Alpes
1;01192;IZERNORE;2130;2309;01;AIN;84;AUVERGNE-RHONE-ALPES;1580.0;Ain;Rhône-Alpes
1;01233;MARCHAMP;1326;129;01;AIN;84;AUVERGNE-RHONE-ALPES;1680.0;Ain;Rhône-Alpes
1;01121;CORLIER;556;119;01;AIN;84;AUVERGNE-RHONE-ALPES;1110.0;Ain;Rhône-Alpes
1;01397;SAUVERNY;183;1070;01;AIN;84;AUVERGNE-RHONE-ALPES;1220.0;Ain;Rhône-Alpes
1;01426;TREFFORT-CUISIAT;3973;2265;01;AIN;84;AUVERGNE-RHONE-ALPES;1370.0;Ain;Rhône-Alpes
1;01368;SAINT-JULIEN-SUR-VEYLE;986;738;01;AIN;84;AUVERGNE-RHONE-ALPES;1540.0;Ain;Rhône-Alpes
1;01224;LOYETTES;2132;3004;01;AIN;84;AUVERGNE-RHONE-ALPES;1360.0;Ain;Rhône-Alpes
1;01073;CEYZERIEU;1972;979;01;AIN;84;AUVERGNE-RHONE-ALPES;1350.0;Ain;Rhône-Alpes
1;01414;SUTRIEU;1895;232;01;AIN;84;AUVERGNE-RHONE-ALPES;1260.0;Ain;Rhône-Alpes
1;01267;NURIEUX-VOLOGNAT;1947;1037;01;AIN;84;AUVERGNE-RHONE-ALPES;1460.0;Ain;Rhône-Alpes
1;01084;CHANOZ-CHATENAY;1332;732;01;AIN;84;AUVERGNE-RHONE-ALPES;1400.0;Ain;Rhône-Alpes
1;01272;NEUVILLE-LES-DAMES;2619;1490;01;AIN;84;AUVERGNE-RHONE-ALPES;1400.0;Ain;Rhône-Alpes
1;01265;MONTREAL-LA-CLUSE;1247;3424;01;AIN;84;AUVERGNE-RHONE-ALPES;1460.0;Ain;Rhône-Alpes
1;01057;BOZ;772;495;01;AIN;84;AUVERGNE-RHONE-ALPES;1190.0;Ain;Rhône-Alpes
1;01195;JASSERON;1884;1664;01;AIN;84;AUVERGNE-RHONE-ALPES;1250.0;Ain;Rhône-Alpes
1;01245;BOHAS-MEYRIAT-RIGNAT;2337;853;01;AIN;84;AUVERGNE-RHONE-ALPES;1250.0;Ain;Rhône-Alpes
1;01414;SUTRIEU;1895;232;01;AIN;84;AUVERGNE-RHONE-ALPES;1260.0;Ain;Rhône-Alpes
1;01136;CRUZILLES-LES-MEPILLAT;1190;829;01;AIN;84;AUVERGNE-RHONE-ALPES;1290.0;Ain;Rhône-Alpes
1;01250;MISERIEUX;747;1785;01;AIN;84;AUVERGNE-RHONE-ALPES;1600.0;Ain;Rhône-Alpes
1;01114;CONFORT;1125;553;01;AIN;84;AUVERGNE-RHONE-ALPES;1200.0;Ain;Rhône-Alpes
1;01266;MONTREVEL-EN-BRESSE;1005;2415;01;AIN;84;AUVERGNE-RHONE-ALPES;1340.0;Ain;Rhône-Alpes
1;01400;SEILLONNAZ;969;141;01;AIN;84;AUVERGNE-RHONE-ALPES;1470.0;Ain;Rhône-Alpes
1;01349;SAINT-ELOI;1408;440;01;AIN;84;AUVERGNE-RHONE-ALPES;1800.0;Ain;Rhône-Alpes
1;01367;SAINT-JULIEN-SUR-REYSSOUZE;749;735;01;AIN;84;AUVERGNE-RHONE-ALPES;1560.0;Ain;Rhône-Alpes
1;01420;THOISSEY;136;1589;01;AIN;84;AUVERGNE-RHONE-ALPES;1140.0;Ain;Rhône-Alpes
1;01046;BIZIAT;1164;817;01;AIN;84;AUVERGNE-RHONE-ALPES;1290.0;Ain;Rhône-Alpes
1;01229;MALAFRETAZ;931;1076;01;AIN;84;AUVERGNE-RHONE-ALPES;1340.0;Ain;Rhône-Alpes
1;01242;MERIGNAT;312;130;01;AIN;84;AUVERGNE-RHONE-ALPES;1450.0;Ain;Rhône-Alpes
1;01009;ANDERT-ET-CONDON;697;338;01;AIN;84;AUVERGNE-RHONE-ALPES;1300.0;Ain;Rhône-Alpes
1;01391;SALAVRE;779;289;01;AIN;84;AUVERGNE-RHONE-ALPES;1270.0;Ain;Rhône-Alpes
1;01284;OZAN;655;643;01;AIN;84;AUVERGNE-RHONE-ALPES;1190.0;Ain;Rhône-Alpes
1;01283;OYONNAX;3592;22436;01;AIN;84;AUVERGNE-RHONE-ALPES;1100.0;Ain;Rhône-Alpes
1;01150;DROM;781;214;01;AIN;84;AUVERGNE-RHONE-ALPES;1250.0;Ain;Rhône-Alpes
1;01320;REPLONGES;1665;3644;01;AIN;84;AUVERGNE-RHONE-ALPES;1750.0;Ain;Rhône-Alpes
1;01216;LHUIS;2462;873;01;AIN;84;AUVERGNE-RHONE-ALPES;1680.0;Ain;Rhône-Alpes
1;01384;SAINT-RAMBERT-EN-BUGEY;2869;2216;01;AIN;84;AUVERGNE-RHONE-ALPES;1230.0;Ain;Rhône-Alpes
1;01322;REYRIEUX;1562;4311;01;AIN;84;AUVERGNE-RHONE-ALPES;1600.0;Ain;Rhône-Alpes
1;01180;GRILLY;750;779;01;AIN;84;AUVERGNE-RHONE-ALPES;1220.0;Ain;Rhône-Alpes
1;01243;MESSIMY-SUR-SAONE;587;1213;01;AIN;84;AUVERGNE-RHONE-ALPES;1480.0;Ain;Rhône-Alpes
1;01214;LEYSSARD;934;147;01;AIN;84;AUVERGNE-RHONE-ALPES;1450.0;Ain;Rhône-Alpes
1;01312;PRESSIAT;597;234;01;AIN;84;AUVERGNE-RHONE-ALPES;;Ain;Rhône-Alpes
1;01014;ARBENT;2374;3440;01;AIN;84;AUVERGNE-RHONE-ALPES;1100.0;Ain;Rhône-Alpes
1;01199;JUJURIEUX;1548;2148;01;AIN;84;AUVERGNE-RHONE-ALPES;1640.0;Ain;Rhône-Alpes
1;01219;LOMPNAS;1263;154;01;AIN;84;AUVERGNE-RHONE-ALPES;1680.0;Ain;Rhône-Alpes
1;01189;INJOUX-GENISSIAT;2956;1117;01;AIN;84;AUVERGNE-RHONE-ALPES;1200.0;Ain;Rhône-Alpes
1;01413;SURJOUX;441;75;01;AIN;84;AUVERGNE-RHONE-ALPES;1420.0;Ain;Rhône-Alpes
1;01432;VERJON;512;256;01;AIN;84;AUVERGNE-RHONE-ALPES;1270.0;Ain;Rhône-Alpes
1;01155;EVOSGES;1195;144;01;AIN;84;AUVERGNE-RHONE-ALPES;1230.0;Ain;Rhône-Alpes
1;01341;SAINT-CHAMP;517;150;01;AIN;84;AUVERGNE-RHONE-ALPES;1300.0;Ain;Rhône-Alpes
1;01104;CHEZERY-FORENS;4645;451;01;AIN;84;AUVERGNE-RHONE-ALPES;1200.0;Ain;Rhône-Alpes
1;01232;MARBOZ;4038;2208;01;AIN;84;AUVERGNE-RHONE-ALPES;1851.0;Ain;Rhône-Alpes
1;01134;CROTTET;1220;1716;01;AIN;84;AUVERGNE-RHONE-ALPES;1750.0;Ain;Rhône-Alpes
1;01343;SAINT-CYR-SUR-MENTHON;1701;1712;01;AIN;84;AUVERGNE-RHONE-ALPES;1380.0;Ain;Rhône-Alpes
